AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
NACA 63-424, data generated by XFOIL. NCrit=2. 
Viterna Extended w/ AR=8. Fourth column is the minimum pressure coefficient.
  1          Number of airfoil tables in this file
  8.0         Table ID parameter Reynolds number in millions.
0      Control Setting (integer)
25.0000  Stall angle (deg)
-2.9440  Zero Cn angle of attack (deg)
6.5796   Cn slope for zero lift (dimensionless)
3.2090   Cn extrapolated to value at positive stall angle of attack
-0.6755  Cn at stall value for negative angle of attack
0.0000   Angle of attack for minimum CD (deg)
0.0059   Minimum CD value
-180	0.0000	0.0100	-1
-170	0.4065	0.0100	-1
-160	0.8130	0.0656	-1
-150	0.9585	0.2382	-1
-140	0.7836	0.4508	-1
-130	0.6393	0.6784	-1
-120	0.4904	0.8946	-1
-110	0.3293	1.0744	-1
-100	0.1615	1.1974	-1
-90	0.0000	1.2500	-1
-80	-0.1615	1.1974	-1
-70	-0.3293	1.0744	-1
-60	-0.4904	0.8946	-1
-50	-0.6393	0.6784	-1
-40	-0.7836	0.4508	-1
-30	-0.9585	0.2382	-1
-20	-0.8400	0.1070	-1
-10	-0.6835	0.0136	-2.5481
-9	-0.6551	0.0110	-2.2945
-8	-0.5990	0.0100	-2.0149
-5	-0.2785	0.0079	-1.2051
-4	-0.1605	0.0074	-1.0146
-3	-0.0396	0.0070	-0.8858
-2	0.0815	0.0064	-0.9130
-1	0.2046	0.0060	-0.9981
0	0.3288	0.0059	-1.0898
1	0.4505	0.0059	-1.1819
2	0.5696	0.0062	-1.2742
3	0.6869	0.0066	-1.3692
4	0.7958	0.0074	-1.4563
6	0.9864	0.0094	-1.6557
7	1.0636	0.0101	-1.7862
8	1.1217	0.0112	-1.9495
9	1.1532	0.0137	-2.0998
11	1.2140	0.0213	-2.4399
12	1.2522	0.0256	-2.7207
13	1.2922	0.0304	-3.0194
15	1.3624	0.0423	-3.6630
16	1.3922	0.0494	-4.0053
17	1.4225	0.0570	-4.3795
18	1.4431	0.0660	-4.7296
19	1.4663	0.0753	-5.1108
20	1.4819	0.0860	-5.4818
22	1.4994	0.1103	-6.2066
25	1.5113	0.1495	-7.3351
26	1.5098	0.1631	-7.6774
30	1.3693	0.2382	-6.1797
40	1.1195	0.4508	-1
50	0.9133	0.6784	-1
60	0.7006	0.8946	-1
70	0.4705	1.0744	-1
80	0.2307	1.1974	-1
90	0.0000	1.2500	-1
100	-0.1615	1.1974	-1
110	-0.3293	1.0744	-1
120	-0.4904	0.8946	-1
130	-0.6393	0.6784	-1
140	-0.7836	0.4508	-1
150	-0.9585	0.2382	-1
160	-0.8130	0.0656	-1
170	-0.4065	0.0100	-1
180	0.0000	0.0100	-1
EOT
