AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
This file was generated automatically by HARP_Opt.
This data represents a 62.9 percent thick airfoil, and was interpolated between the airfoil data in the files NACA6_1000.dat and NACA6_0240.dat.
  1           Number of airfoil tables in this file
 8.000         Table ID parameter Reynolds number in millions
0      Control Setting (integer)
25.0000  Stall angle (deg)
-2.6487  Zero Cn angle of attack (deg)
3.5701   Cn slope for zero lift (dimensionless)
1.7228   Cn extrapolated to value at positive stall angle of attack
-0.3920  Cn at stall value for negative angle of attack
-1.0000  Angle of attack for minimum CD (deg)
0.3612   Minimum CD value
-180.000    0.0000    0.3632    -2.0237
-170.000    0.1984    0.3632    -2.0237
-160.000    0.3969    0.3903    -2.0237
-150.000    0.4679    0.4746    -2.0237
-140.000    0.3825    0.5784    -2.0237
-130.000    0.3121    0.6895    -2.0237
-120.000    0.2394    0.7950    -2.0237
-110.000    0.1608    0.8828    -2.0237
-100.000    0.0788    0.9428    -2.0237
-90.000    0.0000    0.9685    -2.0237
-80.000    -0.0788    0.9428    -2.0237
-70.000    -0.1608    0.8828    -2.0237
-60.000    -0.2394    0.7950    -2.0237
-50.000    -0.3121    0.6895    -2.0237
-40.000    -0.3825    0.5784    -2.0237
-30.000    -0.4679    0.4746    -2.0237
-20.000    -0.4101    0.4105    -2.0237
-10.000    -0.3337    0.3649    -2.7794
-9.000    -0.3198    0.3637    -2.6556
-8.000    -0.2924    0.3632    -2.5191
-5.000    -0.1360    0.3621    -2.1238
-4.000    -0.0783    0.3619    -2.0308
-3.000    -0.0193    0.3617    -1.9679
-2.000    0.0398    0.3614    -1.9812
-1.000    0.0999    0.3612    -2.0228
0.000    0.1605    0.3612    -2.0675
1.000    0.2199    0.3612    -2.1125
2.000    0.2781    0.3613    -2.1575
3.000    0.3353    0.3615    -2.2039
4.000    0.3885    0.3619    -2.2464
6.000    0.4815    0.3629    -2.3438
7.000    0.5192    0.3632    -2.4075
8.000    0.5476    0.3638    -2.4872
9.000    0.5629    0.3650    -2.5606
11.000    0.5926    0.3687    -2.7266
12.000    0.6113    0.3708    -2.8637
13.000    0.6308    0.3731    -3.0095
15.000    0.6651    0.3789    -3.3236
16.000    0.6796    0.3824    -3.4907
17.000    0.6944    0.3861    -3.6734
18.000    0.7045    0.3905    -3.8443
19.000    0.7158    0.3950    -4.0304
20.000    0.7234    0.4003    -4.2115
22.000    0.7319    0.4121    -4.5653
25.000    0.7378    0.4313    -5.1162
26.000    0.7370    0.4379    -5.2833
30.000    0.6684    0.4746    -4.5522
40.000    0.5465    0.5784    -2.0237
50.000    0.4458    0.6895    -2.0237
60.000    0.3420    0.7950    -2.0237
70.000    0.2297    0.8828    -2.0237
80.000    0.1126    0.9428    -2.0237
90.000    0.0000    0.9685    -2.0237
100.000    -0.0788    0.9428    -2.0237
110.000    -0.1608    0.8828    -2.0237
120.000    -0.2394    0.7950    -2.0237
130.000    -0.3121    0.6895    -2.0237
140.000    -0.3825    0.5784    -2.0237
150.000    -0.4679    0.4746    -2.0237
160.000    -0.3969    0.3903    -2.0237
170.000    -0.1984    0.3632    -2.0237
180.000    0.0000    0.3632    -2.0237
EOT 
