AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
NACA 4415, Re=.083 Million, Smooth roughness, raw wind tunnel data smoothed by hand. 
Viterna Extended w/ AR=6.75. Fourth column is the minimum pressure coefficient.
  1           Number of airfoil tables in this file
  0.083       Table ID parameter (Reynolds number in millions).
  0.0         Control setting
  14          Stall angle (deg)
  -3.5        Zero lift angle of attack (deg)
  4.526       Cn slope for zero lift (dimensionless)
  1.519       Cn at stall value for positive angle of attack
  -0.6101     Cn at stall value for negative angle of attack
  -7.0        Angle of attack for minimum CD (deg)
  0.0019      Minimum CD value
-180	0.0000	0.0100	-1.0000
-170	0.3000	0.0131	-1.0000
-160	0.6000	0.1263	-1.0000
-150	0.5932	0.2998	-1.0000
-140	0.5677	0.5129	-1.0000
-130	0.5174	0.7402	-1.0000
-120	0.4299	0.9544	-1.0000
-110	0.3070	1.1301	-1.0000
-100	0.1586	1.2465	-1.0000
-90	    0.0000	1.2900	-1.0000
-80	   -0.1586	1.2465	-1.0000
-70	   -0.3070	1.1301	-1.0000
-60	   -0.4299	0.9544	-1.0000
-50	   -0.5174	0.7402	-1.0000
-40	   -0.5677	0.5129	-1.0000
-30	   -0.5932	0.2998	-1.0000
-20	   -0.6015	0.1313	-1.0000
-10	   -0.4658	0.0318	-1.0000
-7	   -0.3300	0.0019	-1.1362
-6	   -0.2300	0.0024	-0.8309
-5	   -0.1300	0.0036	-0.8151
-4	   -0.0300	0.0043	-0.9098
-3	    0.0700	0.0043	-1.0046
-2	    0.1800	0.0043	-1.1229
-1	    0.2800	0.0052	-1.2642
0	    0.3800	0.0053	-1.4118
1	    0.4800	0.0054	-1.5351
2	    0.5700	0.0061	-1.6647
3	    0.6600	0.0064	-1.8799
4	    0.7400	0.0068	-2.1102
5	    0.8200	0.0072	-2.2112
6	    0.8900	0.0079	-2.5000
7	    0.9600	0.0090	-2.7457
8	    1.0300	0.0099	-2.8945
9	    1.0900	0.0119	-3.1533
10	    1.1500	0.0134	-3.3453
11	    1.2100	0.0154	-3.5287
12	    1.2600	0.0210	-3.7031
13	    1.3000	0.0378	-3.8731
14	    1.3000	0.0558	-4.0425
15	    1.2400	0.0658	-4.2158
16	    1.1300	0.0739	-4.3894
17	    1.0400	0.0821	-4.5497
18	    0.9700	0.0909	-4.6003
19	    0.9400	0.1073	-4.7262
20	    0.9100	0.1227	-4.8423
21	    0.9000	0.1412	-5.0294
30	    0.8475	0.2998	-1.0000
40	    0.8110	0.5129	-1.0000
50	    0.7391	0.7402	-1.0000
60	    0.6142	0.9544	-1.0000
70	    0.4386	1.1301	-1.0000
80	    0.2265	1.2465	-1.0000
90	    0.0000	1.2900	-1.0000
100	   -0.1586	1.2465	-1.0000
110	   -0.3070	1.1301	-1.0000
120	   -0.4299	0.9544	-1.0000
130	   -0.5174	0.7402	-1.0000
140	   -0.5677	0.5129	-1.0000
150	   -0.5932	0.2998	-1.0000
160	   -0.6000	0.1263	-1.0000
170	   -0.3000	0.0131	-1.0000
180	    0.0000	0.0100	-1.0000
EOT
