AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
This file was generated automatically by HARP_Opt.
This data represents a 24.7 percent thick airfoil, and was interpolated between the airfoil data in the files NACA6_1000.dat and NACA6_0240.dat.
  1           Number of airfoil tables in this file
 8.000         Table ID parameter Reynolds number in millions
0      Control Setting (integer)
25.0000  Stall angle (deg)
-2.9418  Zero Cn angle of attack (deg)
6.5251   Cn slope for zero lift (dimensionless)
3.1821   Cn extrapolated to value at positive stall angle of attack
-0.6704  Cn at stall value for negative angle of attack
0.0000   Angle of attack for minimum CD (deg)
0.0123   Minimum CD value
-180.000    0.0000    0.0164    -1.0184
-170.000    0.4028    0.0164    -1.0184
-160.000    0.8055    0.0714    -1.0184
-150.000    0.9497    0.2425    -1.0184
-140.000    0.7764    0.4531    -1.0184
-130.000    0.6334    0.6786    -1.0184
-120.000    0.4859    0.8928    -1.0184
-110.000    0.3263    1.0710    -1.0184
-100.000    0.1600    1.1928    -1.0184
-90.000    0.0000    1.2449    -1.0184
-80.000    -0.1600    1.1928    -1.0184
-70.000    -0.3263    1.0710    -1.0184
-60.000    -0.4859    0.8928    -1.0184
-50.000    -0.6334    0.6786    -1.0184
-40.000    -0.7764    0.4531    -1.0184
-30.000    -0.9497    0.2425    -1.0184
-20.000    -0.8323    0.1125    -1.0184
-10.000    -0.6772    0.0199    -2.5523
-9.000    -0.6491    0.0173    -2.3010
-8.000    -0.5935    0.0164    -2.0240
-5.000    -0.2759    0.0143    -1.2216
-4.000    -0.1590    0.0138    -1.0329
-3.000    -0.0392    0.0134    -0.9053
-2.000    0.0807    0.0128    -0.9322
-1.000    0.2027    0.0124    -1.0165
0.000    0.3258    0.0123    -1.1074
1.000    0.4464    0.0123    -1.1986
2.000    0.5644    0.0126    -1.2901
3.000    0.6806    0.0130    -1.3842
4.000    0.7885    0.0138    -1.4705
6.000    0.9773    0.0158    -1.6681
7.000    1.0538    0.0165    -1.7974
8.000    1.1114    0.0175    -1.9592
9.000    1.1426    0.0200    -2.1081
11.000    1.2028    0.0276    -2.4451
12.000    1.2407    0.0318    -2.7233
13.000    1.2803    0.0366    -3.0192
15.000    1.3499    0.0484    -3.6569
16.000    1.3794    0.0554    -3.9960
17.000    1.4094    0.0629    -4.3668
18.000    1.4298    0.0718    -4.7137
19.000    1.4528    0.0811    -5.0914
20.000    1.4683    0.0917    -5.4589
22.000    1.4856    0.1157    -6.1771
25.000    1.4974    0.1546    -7.2952
26.000    1.4959    0.1680    -7.6343
30.000    1.3567    0.2425    -6.1504
40.000    1.1092    0.4531    -1.0184
50.000    0.9049    0.6786    -1.0184
60.000    0.6941    0.8928    -1.0184
70.000    0.4662    1.0710    -1.0184
80.000    0.2286    1.1928    -1.0184
90.000    0.0000    1.2449    -1.0184
100.000    -0.1600    1.1928    -1.0184
110.000    -0.3263    1.0710    -1.0184
120.000    -0.4859    0.8928    -1.0184
130.000    -0.6334    0.6786    -1.0184
140.000    -0.7764    0.4531    -1.0184
150.000    -0.9497    0.2425    -1.0184
160.000    -0.8055    0.0714    -1.0184
170.000    -0.4028    0.0164    -1.0184
180.000    0.0000    0.0164    -1.0184
EOT 
